,name,address,date,neg,neu,pos
1362,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        12/9/2018
    ",0.047,0.669,0.284
1363,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        10/27/2017
    ",0.05,0.738,0.212
1364,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        10/20/2018
    ",0.042,0.662,0.297
1365,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        2/13/2018
    ",0.033,0.703,0.264
1366,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        3/9/2019
    ",0.038,0.721,0.241
1367,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        1/3/2017
    ",0.035,0.691,0.273
1368,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        6/25/2019
    ",0.043,0.714,0.243
1369,Cypress Grill,"
        4404 W William Cannon Dr Ste L Austin, TX 78749
    ","
        6/16/2019
    ",0.095,0.693,0.211
1370,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        8/4/2018
    ",0.027,0.684,0.29
1371,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        1/19/2019
    ",0.021,0.713,0.266
1372,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        6/26/2019
    ",0.023,0.676,0.301
1373,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        7/6/2019
    ",0.03,0.733,0.237
1374,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        3/9/2018
    ",0.025,0.743,0.232
1375,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        10/18/2018
    ",0.053,0.727,0.22
1376,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        1/29/2019
    ",0.03,0.764,0.206
1377,Roaring Fork,"
        701 Congress Ave Austin, TX 78701
    ","
        7/29/2019
    ",0.03,0.678,0.292
1378,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        6/24/2018
    ",0.037,0.767,0.196
1379,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        6/9/2019
    ",0.05,0.721,0.229
1380,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        11/11/2018
            ",0.046,0.751,0.203
1381,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        3/7/2019
    ",0.052,0.715,0.233
1382,Koriente,"
        621 E 7th St Austin, TX 78701
    ","
        7/21/2019
    ",0.026,0.711,0.262
1383,Clay Pit,"
        1601 Guadalupe St Austin, TX 78701
    ","
        5/31/2019
    ",0.043,0.748,0.21
1384,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/3/2019
    ",0.047,0.748,0.205
1385,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/9/2018
    ",0.025,0.752,0.223
1386,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/8/2018
    ",0.044,0.748,0.208
1387,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/18/2019
    ",0.035,0.737,0.228
1388,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/21/2019
    ",0.031,0.741,0.227
1389,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        1/26/2019
    ",0.05,0.782,0.168
1390,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        5/13/2019
    ",0.032,0.781,0.187
1391,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/13/2019
    ",0.047,0.777,0.176
1392,Franklin Barbecue,"
        900 E 11th St Austin, TX 78702
    ","
        7/27/2019
    ",0.041,0.772,0.187
1393,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        9/8/2018
    ",0.04,0.683,0.278
1394,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        1/12/2019
    ",0.032,0.661,0.307
1395,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        4/20/2019
    ",0.06,0.683,0.257
1396,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        1/5/2019
    ",0.042,0.728,0.23
1397,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        6/4/2019
    ",0.031,0.71,0.259
1398,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        7/11/2019
    ",0.039,0.701,0.26
1399,Salty Sow,"
        1917 Manor Rd Austin, TX 78722
    ","
        7/27/2019
    ",0.037,0.72,0.243
